Time,Anomaly
1857,-0.5657638
1858,-0.5133705
1859,-0.23374537
1860,-0.6895078
1861,-0.42564762
1862,-0.6453584
1863,-0.2510292
1864,-0.770459
1865,-0.3894215
1866,-0.38385135
1867,-0.59209853
1868,-0.4107019
1869,-0.37663925
1870,-0.5441607
1871,-0.66085374
1872,-0.35006937
1873,-0.39482796
1874,-0.46574357
1875,-0.807789
1876,-0.50401145
1877,-0.24599184
1878,-0.03779209
1879,-0.56802624
1880,-0.39829966
1881,-0.44153607
1882,-0.32730234
1883,-0.5985442
1884,-0.7249102
1885,-0.70666355
1886,-0.55277526
1887,-0.6124252
1888,-0.6072108
1889,-0.27811563
1890,-0.45472625
1891,-0.5426825
1892,-0.60502577
1893,-0.6791759
1894,-0.46972725
1895,-0.57248884
1896,-0.38988397
1897,-0.3160321
1898,-0.39859813
1899,-0.34147948
1900,-0.20536323
1901,-0.17303877
1902,-0.40557805
1903,-0.43788943
1904,-0.54526806
1905,-0.4073882
1906,-0.19900995
1907,-0.60648257
1908,-0.45331487
1909,-0.4203519
1910,-0.3502389
1911,-0.43321386
1912,-0.44936615
1913,-0.3229557
1914,-0.07627637
1915,-0.07791135
1916,-0.36307254
1917,-0.6649179
1918,-0.43065804
1919,-0.29327828
1920,-0.2628642
1921,-0.10661805
1922,-0.25467652
1923,-0.26298675
1924,-0.3219525
1925,-0.21747509
1926,-0.06897242
1927,-0.22323248
1928,-0.15145926
1929,-0.48260093
1930,-0.12355838
1931,-0.09334341
1932,-0.092352025
1933,-0.32913542
1934,-0.04386439
1935,-0.18241026
1936,-0.13604967
1937,-0.059982903
1938,0.13552216
1939,-0.020120017
1940,-0.060900282
1941,-0.043069262
1942,-0.060255308
1943,-0.005304949
1944,0.08457761
1945,-0.14261918
1946,-0.10754071
1947,-0.030594207
1948,-0.019833682
1949,-0.1291292
1950,-0.31810552
1951,-0.11953435
1952,-0.070210494
1953,0.11990986
1954,-0.15417701
1955,-0.19989264
1956,-0.43574724
1957,-0.081463695
1958,0.038493454
1959,0.014404921
1960,-0.069338664
1961,0.03989178
1962,0.0264716
1963,0.020218944
1964,-0.28486148
1965,-0.23245732
1966,-0.1294681
1967,-0.08825689
1968,-0.20576753
1969,-0.11334864
1970,-0.05009982
1971,-0.20407335
1972,-0.22965667
1973,0.13852093
1974,-0.27852663
1975,-0.063728966
1976,-0.35240787
1977,0.08613637
1978,-0.046303134
1979,0.041440267
1980,0.12801996
1981,0.30450192
1982,-0.013505005
1983,0.31842527
1984,-0.0418814
1985,-0.03368586
1986,0.104484774
1987,0.26250127
1988,0.36466107
1989,0.23586959
1990,0.48940176
1991,0.3749189
1992,0.08698423
1993,0.17147948
1994,0.32324663
1995,0.5650472
1996,0.22833297
1997,0.4866346
1998,0.8413745
1999,0.5538232
2000,0.46840838
2001,0.6663741
2002,0.7662035
2003,0.75955176
2004,0.6537306
2005,0.8661111
2006,0.8073106
2007,0.902739
2008,0.68041646
2009,0.7379667
2010,0.93202406
2011,0.72169894
2012,0.7750726
2013,0.8443622
2014,0.87793815
2015,1.1682842
2016,1.3041877
2017,1.1630255
2018,0.9737302
2019,1.1687826
2020,1.3127614
2021,1.0639415
2022,1.087461
