Date,PPM
1958,315.236
1959,315.9816667
1960,316.9091667
1961,317.6433333
1962,318.4533333
1963,318.9933333
1964,319.6183333
1965,320.0358333
1966,321.3675
1967,322.1791667
1968,323.05
1969,324.6216667
1970,325.6825
1971,326.3191667
1972,327.4566667
1973,329.6808333
1974,330.2508333
1975,331.1625
1976,332.1616667
1977,333.9108333
1978,335.515
1979,336.8608333
1980,338.7
1981,339.9516667
1982,341.1508333
1983,342.7983333
1984,344.4983333
1985,345.8908333
1986,347.1333333
1987,348.8566667
1988,351.2416667
1989,352.7066667
1990,353.9916667
1991,355.3933333
1992,356.1733333
1993,356.8475
1994,358.715
1995,360.7283333
1996,362.5116667
1997,363.6491667
1998,366.5233333
1999,368.215
2000,369.3841667
2001,370.9391667
2002,373.0225
2003,375.5725
2004,377.3066667
2005,379.5675
2006,381.7741667
2007,383.5633333
2008,385.4183333
2009,387.3433333
2010,389.9141667
2011,391.695
2012,393.9475
2013,396.65
2014,398.7075
2015,400.8675
2016,404.21
2017,406.515
2018,408.53
2019,411.425
2020,413.9466667
2021,416.1141667
2022,418.2241667
2023,419.24
